"SiteCode","SurveyID","S","Sprey","Spred","L","D","C","G","sG","V","sV","Cc","nCc","Bc","nBc","NODF2","weighted_NODF","Qn"
"ACEH1",62003087,98,59,39,712,7.2653,0.3094,17.2564,11.9642,11.4068,9.1879,0.00460146326718111,0.446341936916568,62.0408163265306,0.0281491907107671,68.2283980466497,43.405185813402,0.201033716101199
"ACEH11",62003097,127,62,65,1178,9.2756,0.2923,17.1231,11.4038,17.9516,14.8373,0.00352099699736648,0.443645621668177,81.0472440944882,0.0207600522783013,66.4957435266859,34.7980497392858,0.203719176053001
"ACEH12",62003098,109,58,51,716,6.5688,0.2421,13.0392,10.8258,11.4655,9.9406,0.00400489223206706,0.432528361063242,72.4770642201835,0.0254305488491872,63.3653741452063,36.9830636805895,0.241212052688112
"ACEH15",62003101,128,63,65,1056,8.25,0.2579,15.2462,12.1861,15.7302,14.282,0.00344620558146492,0.437668108846045,83.6171875,0.0210728799143145,70.3282292372458,40.6368442636663,0.210476528921749
"ACEH16",62003102,126,64,62,1127,8.9444,0.284,17.1774,12.8465,16.6406,14.0547,0.00358090288084846,0.447612860106058,78.9920634920635,0.0205547914369148,71.4556112811382,37.6806087477482,0.228093191386188
"ACEH17",62003103,126,64,62,1142,9.0635,0.2878,17.4194,12.6005,16.875,14.3875,0.00358748921490606,0.448436151863258,78.6904761904762,0.0204763143873214,69.558524177613,37.5067336525203,0.21849537037037
"ACEH18",62003104,127,64,63,1146,9.0236,0.2842,17.1905,12.5066,16.9219,14.7404,0.00356936715140662,0.449740261077234,78.7952755905512,0.0201728816156045,72.3979495604516,39.1224841820422,0.212814682378298
"ACEH19",62003105,112,64,48,888,7.9286,0.2891,17.5,14.2202,13.125,10.4007,0.00407092174433418,0.451872313621094,69,0.0233029381965552,74.0088991242445,40.0086321322339,0.227196712018141
"ACEH2",62003088,116,64,52,991,8.5431,0.2978,18.0577,13.1796,14.6719,11.7852,0.00394232774139729,0.453367690260688,70.8965517241379,0.0220655311933202,70.3447148907786,38.3471480538633,0.21544910464875
"ACEH20",62003106,125,64,61,1083,8.664,0.2774,16.7541,12.6763,15.9688,13.4542,0.00361894513719201,0.44874919701181,77.728,0.020562962962963,69.361124043981,35.3560847204657,0.222774116214323
